media_id,comment_count,predicted_gender,follows,followed_by,python_faces,like_count
1362503649154243986_253179711,0,female,48.0,23.0,1,3
1362520708755889699_1507451551,1,,194.0,469.0,0,90
1363692342472864754_1970646870,2,,720.0,10553.0,2,66
1363813587336034000_1970646870,2,,720.0,10553.0,0,123
1363880787870555165_1970646870,2,,720.0,10553.0,0,108
1363944534513531139_1970646870,4,,720.0,10553.0,0,118
1364151569217556117_1970646870,7,,720.0,10553.0,1,206
1364604192853712806_3508260742,1,,494.0,137.0,0,27
1365086673649808169_3633069465,1,,19.0,64.0,2,6
1365177356507820277_466964671,1,male,351.0,467.0,1,31
1365504339447407594_2765251544,5,female,294.0,146.0,0,16
1365968450803059920_1970646870,6,,720.0,10553.0,1,172
1366656504631669208_3508260742,1,,494.0,137.0,0,28
1366954137190894589_1507451551,1,,194.0,469.0,0,51
1367522278241329071_193187243,1,female,121.0,155.0,0,15
1368259498447419395_1507451551,1,,194.0,469.0,0,62
1368713975126084188_1970646870,1,,720.0,10553.0,0,52
1368714307919024409_1970646870,1,,720.0,10553.0,1,136
1368840196883577412_185832564,19,,606.0,55751.0,0,927
1368951932521170578_1970646870,7,,720.0,10553.0,0,211
1369480860067440958_4075500631,4,,997.0,9927.0,0,37
1369551196750974336_3508260742,0,,494.0,137.0,0,23
1369645152976602448_558387474,0,,608.0,1126.0,2,49
1369655757856263378_2070104800,4,,2707.0,3230.0,0,21
1369732971745779711_354229620,2,,1073.0,1134.0,0,30
1370214911158237087_239426400,78,,984.0,73797.0,0,778
1370216714381740577_367234476,4,,594.0,12468.0,0,85
1370217339795477473_2070104800,2,,2707.0,3230.0,0,23
1370223691221108389_23526409,0,,282.0,24021.0,0,55
1370230359073431290_3594709310,1,,11.0,258.0,0,21
1370249742218634957_1478694811,0,female,854.0,231.0,5,1
1370263440438638347_5596074,0,,411.0,244.0,1,9
1370287032701714619_1419664841,1,,15.0,18.0,0,7
1370302656417687492_441814411,1,,233.0,241.0,0,7
1370370625508464750_269487523,1,female,479.0,207.0,5,7
1370427505697135653_5809245,4,,315.0,507.0,0,24
1370485759294857452_283776710,1,,281.0,238.0,0,14
1370498247038077899_2115223838,0,female,427.0,219.0,0,9
1370573978628556963_2719655968,0,male,105.0,121.0,0,13
1370883069456040707_1080065842,3,female,300.0,2468.0,0,65
1370911249734719587_221639390,4,male,3279.0,2063.0,0,86
1370977189914402752_1970646870,2,,720.0,10553.0,0,133
1370990664627544441_1970646870,1,,720.0,10553.0,0,180
1371059120786111762_29515479,0,female,302.0,199.0,1,7
1371110142422988517_3508260742,0,,494.0,137.0,0,21
1371802130432074881_3633069465,0,,19.0,64.0,3,11
1372403074573096720_185179131,0,,680.0,902.0,0,103
1372481666081939859_3508260742,0,,494.0,137.0,0,25
1373220735656800226_304107043,3,,357.0,263.0,0,18
1373234517552260973_1970646870,2,,720.0,10553.0,0,215
1373333553626908251_466964671,3,male,351.0,467.0,0,28
1373368002644488921_252635146,0,male,117.0,108.0,0,16
1373414104018413429_239426400,3,,984.0,73797.0,1,751
1373415275067874811_30983430,0,,2598.0,265.0,0,10
1373456411819831414_1991312934,6,,94.0,869.0,0,50
1373457318083432282_332872866,2,male,671.0,405.0,1,65
1373521809525337626_20152271,2,female,224.0,280.0,0,61
1373532282216662298_4062683309,4,male,1468.0,144.0,0,108
1374040053416568922_264441457,0,female,315.0,191.0,0,21
1374046817922120620_1970646870,1,,720.0,10553.0,0,145
1374184034409827066_1970646870,4,,720.0,10553.0,1,145
1374335237189856865_1970646870,5,,720.0,10553.0,0,147
1374665139911109177_2331202755,4,female,125.0,185.0,1,32
1374733195597886643_3508260742,3,,494.0,137.0,0,30
1375224872011167865_4392190,5,mostly_male,786.0,303.0,0,26
1375446420634817647_339530811,1,,1073.0,1079.0,0,16
1375507364132155599_3633069465,0,,19.0,64.0,0,6
1375585803119852650_232707,3,,402.0,559.0,0,48
1375668596139437636_1616834245,17,female,603.0,464.0,0,66
1376279381097343429_1970646870,9,,720.0,10553.0,0,203
1377116436803898380_1278938145,4,female,281.0,158.0,0,33
1377488458071471058_3508260742,0,,494.0,137.0,0,26
1377631506998781918_2349274121,0,,67.0,278.0,1,44
1378296368816333315_1925952521,2,female,221.0,299.0,0,44
1378621304365875907_1970646870,3,,720.0,10553.0,0,118
1378835302906455007_357436487,1,female,291.0,197.0,1,38
1378924390460379084_1970646870,2,,720.0,10553.0,1,141
1379029134520844417_388490299,2,male,281.0,1216.0,1,385
1379081041884668303_1970646870,4,,720.0,10553.0,1,135
1379166527648282312_236284777,0,male,1111.0,1195.0,0,80
1379246777920914517_2182023842,2,,235.0,233.0,0,89
1379667834996901794_239426400,61,,984.0,73797.0,0,974
1379956026228539915_1970646870,1,,720.0,10553.0,0,203
1380282342668632001_1080065842,1,female,300.0,2468.0,0,26
1380402500821563255_239426400,21,,984.0,73797.0,0,627
1380464905807583673_3508260742,0,,494.0,137.0,0,36
1380511940472560551_466964671,1,male,351.0,467.0,0,35
1380754981933858375_4143576804,0,,626.0,860.0,0,32
1380821540565099850_1308141777,0,female,206.0,205.0,0,14
1381217517003729797_176523881,6,female,400.0,715.0,1,76
1381453022491710299_1970646870,3,,720.0,10553.0,1,159
